"","X.1","X","pid","lat","lon","Altitude","UTMTime","PhotoTime","PhotoLocation","bearing","ID","Done"
"1",1,23,9,-14.511051,125.811455,233.7,"2016-06-16 23:28:45","2016-06-17 07:28:45","2016-06-17\07\28\2016-06-17--07-28-45.084.jpg",278.098058809606,1,FALSE
"2",2,24,10,-14.51095,125.81073,230.6,"2016-06-16 23:28:47","2016-06-17 07:28:47","2016-06-17\07\28\2016-06-17--07-28-47.306.jpg",278.181880883785,2,FALSE
"3",3,25,11,-14.510864,125.81012,226.6,"2016-06-16 23:28:48","2016-06-17 07:28:48","2016-06-17\07\28\2016-06-17--07-28-48.417.jpg",278.440678009492,3,FALSE
"4",4,26,12,-14.510757,125.809395,222.9,"2016-06-16 23:28:49","2016-06-17 07:28:49","2016-06-17\07\28\2016-06-17--07-28-49.528.jpg",278.692716935959,4,FALSE
"5",5,27,13,-14.510665,125.808784,219.2,"2016-06-16 23:28:50","2016-06-17 07:28:50","2016-06-17\07\28\2016-06-17--07-28-50.639.jpg",278.990186393518,5,FALSE
"6",6,28,15,-14.51055,125.808052,214.4,"2016-06-16 23:28:51","2016-06-17 07:28:51","2016-06-17\07\28\2016-06-17--07-28-51.751.jpg",279.284090983332,6,FALSE
"7",7,29,16,-14.51045,125.807434,209.9,"2016-06-16 23:28:52","2016-06-17 07:28:52","2016-06-17\07\28\2016-06-17--07-28-52.861.jpg",279.665540486984,7,FALSE
"8",8,30,17,-14.510326,125.806702,204.7,"2016-06-16 23:28:53","2016-06-17 07:28:53","2016-06-17\07\28\2016-06-17--07-28-53.972.jpg",279.961627551135,8,FALSE
"9",9,32,19,-14.510086,125.805336,195.9,"2016-06-16 23:28:55","2016-06-17 07:28:55","2016-06-17\07\28\2016-06-17--07-28-55.084.jpg",280.431302465795,9,FALSE
"10",10,33,20,-14.509974,125.804718,190.8,"2016-06-16 23:28:56","2016-06-17 07:28:56","2016-06-17\07\28\2016-06-17--07-28-56.195.jpg",280.639369805185,10,FALSE
"11",11,34,21,-14.509836,125.80397,184.3,"2016-06-16 23:28:58","2016-06-17 07:28:58","2016-06-17\07\28\2016-06-17--07-28-58.417.jpg",280.749927107631,11,FALSE
"12",12,35,22,-14.509696,125.803215,178.4,"2016-06-16 23:28:59","2016-06-17 07:28:59","2016-06-17\07\28\2016-06-17--07-28-59.528.jpg",280.842776447721,12,FALSE
"13",13,36,23,-14.509577,125.802582,173.3,"2016-06-16 23:29:00","2016-06-17 07:29:00","2016-06-17\07\29\2016-06-17--07-29-00.639.jpg",281.080015314284,13,FALSE
"14",14,37,25,-14.509431,125.801826,166.4,"2016-06-16 23:29:01","2016-06-17 07:29:01","2016-06-17\07\29\2016-06-17--07-29-01.750.jpg",281.309651967564,14,FALSE
"15",15,38,26,-14.509305,125.801186,160.5,"2016-06-16 23:29:02","2016-06-17 07:29:02","2016-06-17\07\29\2016-06-17--07-29-02.861.jpg",281.617094072235,15,FALSE
"16",16,39,27,-14.50915,125.800423,154,"2016-06-16 23:29:03","2016-06-17 07:29:03","2016-06-17\07\29\2016-06-17--07-29-03.972.jpg",281.803358380911,16,FALSE
"17",17,41,29,-14.508853,125.799004,143.89,"2016-06-16 23:29:05","2016-06-17 07:29:05","2016-06-17\07\29\2016-06-17--07-29-05.083.jpg",282.402368059234,17,FALSE
"18",18,42,30,-14.508686,125.798233,139.6,"2016-06-16 23:29:07","2016-06-17 07:29:07","2016-06-17\07\29\2016-06-17--07-29-07.306.jpg",282.461533101789,18,FALSE
"19",19,43,31,-14.508549,125.797592,135.7,"2016-06-16 23:29:08","2016-06-17 07:29:08","2016-06-17\07\29\2016-06-17--07-29-08.417.jpg",282.124925274655,19,FALSE
"20",20,44,32,-14.508389,125.796814,134,"2016-06-16 23:29:09","2016-06-17 07:29:09","2016-06-17\07\29\2016-06-17--07-29-09.528.jpg",281.807606464118,20,FALSE
"21",21,45,33,-14.50826,125.796173,133.39,"2016-06-16 23:29:10","2016-06-17 07:29:10","2016-06-17\07\29\2016-06-17--07-29-10.639.jpg",281.367629661918,21,FALSE
"22",22,46,35,-14.508114,125.79541,133.2,"2016-06-16 23:29:11","2016-06-17 07:29:11","2016-06-17\07\29\2016-06-17--07-29-11.750.jpg",280.863309354367,22,FALSE
"23",23,47,36,-14.507999,125.794777,132.6,"2016-06-16 23:29:12","2016-06-17 07:29:12","2016-06-17\07\29\2016-06-17--07-29-12.861.jpg",280.130168345602,23,FALSE
"24",24,48,37,-14.507871,125.794014,130.89,"2016-06-16 23:29:13","2016-06-17 07:29:13","2016-06-17\07\29\2016-06-17--07-29-13.972.jpg",279.563714754048,24,FALSE
"25",25,50,39,-14.507663,125.792625,127,"2016-06-16 23:29:15","2016-06-17 07:29:15","2016-06-17\07\29\2016-06-17--07-29-15.083.jpg",277.746055212196,25,FALSE
"26",26,51,40,-14.507586,125.791992,125.9,"2016-06-16 23:29:16","2016-06-17 07:29:16","2016-06-17\07\29\2016-06-17--07-29-16.194.jpg",276.4970139413,26,FALSE
"27",27,52,41,-14.507509,125.791237,125.2,"2016-06-16 23:29:18","2016-06-17 07:29:18","2016-06-17\07\29\2016-06-17--07-29-18.417.jpg",275.358939755122,27,FALSE
"28",28,53,42,-14.507448,125.790482,123.9,"2016-06-16 23:29:19","2016-06-17 07:29:19","2016-06-17\07\29\2016-06-17--07-29-19.528.jpg",274.165902416846,28,FALSE
"29",29,54,43,-14.507411,125.789856,123.5,"2016-06-16 23:29:20","2016-06-17 07:29:20","2016-06-17\07\29\2016-06-17--07-29-20.639.jpg",272.808254449627,29,FALSE
"30",30,55,45,-14.507382,125.789101,123.2,"2016-06-16 23:29:21","2016-06-17 07:29:21","2016-06-17\07\29\2016-06-17--07-29-21.750.jpg",271.584288353638,30,FALSE
"31",31,56,46,-14.507374,125.788483,123.2,"2016-06-16 23:29:22","2016-06-17 07:29:22","2016-06-17\07\29\2016-06-17--07-29-22.861.jpg",270.128989699243,31,FALSE
"32",32,57,47,-14.507379,125.787735,122.8,"2016-06-16 23:29:23","2016-06-17 07:29:23","2016-06-17\07\29\2016-06-17--07-29-23.972.jpg",269.095776832764,32,FALSE
"33",33,59,49,-14.50743,125.786385,119.1,"2016-06-16 23:29:25","2016-06-17 07:29:25","2016-06-17\07\29\2016-06-17--07-29-25.083.jpg",266.448522241263,33,FALSE
"34",34,60,50,-14.507484,125.785645,117.8,"2016-06-16 23:29:27","2016-06-17 07:29:27","2016-06-17\07\29\2016-06-17--07-29-27.305.jpg",265.09278024334,34,FALSE
"35",35,61,51,-14.507543,125.785034,116.9,"2016-06-16 23:29:28","2016-06-17 07:29:28","2016-06-17\07\29\2016-06-17--07-29-28.416.jpg",263.719200171266,35,FALSE
"36",36,62,52,-14.507628,125.784302,115.3,"2016-06-16 23:29:29","2016-06-17 07:29:29","2016-06-17\07\29\2016-06-17--07-29-29.528.jpg",262.682940017655,36,FALSE
"37",37,63,53,-14.50771,125.783699,113.6,"2016-06-16 23:29:30","2016-06-17 07:29:30","2016-06-17\07\29\2016-06-17--07-29-30.639.jpg",261.948959128209,37,FALSE
"38",38,64,55,-14.507811,125.782974,112.7,"2016-06-16 23:29:31","2016-06-17 07:29:31","2016-06-17\07\29\2016-06-17--07-29-31.750.jpg",261.942968929427,38,FALSE
"39",39,65,56,-14.507893,125.782372,112.8,"2016-06-16 23:29:32","2016-06-17 07:29:32","2016-06-17\07\29\2016-06-17--07-29-32.861.jpg",262.294211952661,39,FALSE
